Date,Result,Top prize,Source,Number1,Number2,Number3,Number4
2025-09-15,"8, 3, 5, 1","$5,000 ",LotteryUSA_Original,8,3,5,1
2025-09-14,"9, 2, 2, 7","$5,000 ",LotteryUSA_Original,9,2,2,7
2025-09-13,"5, 0, 8, 6","$5,000 ",LotteryUSA_Original,5,0,8,6
2025-09-12,"3, 2, 9, 9","$5,000 ",LotteryUSA_Original,3,2,9,9
2025-09-11,"5, 3, 0, 4","$5,000 ",LotteryUSA_Original,5,3,0,4
2025-09-10,"7, 6, 6, 0","$5,000 ",LotteryUSA_Original,7,6,6,0
2025-09-09,"8, 5, 4, 9","$5,000 ",LotteryUSA_Original,8,5,4,9
2025-09-08,"6, 2, 6, 8","$5,000 ",LotteryUSA_Original,6,2,6,8
2025-09-07,"1, 2, 6, 8","$5,000 ",LotteryUSA_Original,1,2,6,8
2025-09-06,"2, 9, 3, 6","$5,000 ",LotteryUSA_Original,2,9,3,6
2025-09-05,"3, 6, 5, 3","$5,000 ",LotteryUSA_Original,3,6,5,3
2025-09-04,"7, 8, 1, 3","$5,000 ",LotteryUSA_Original,7,8,1,3
2025-09-03,"3, 8, 6, 8","$5,000 ",LotteryUSA_Original,3,8,6,8
2025-09-02,"3, 6, 5, 3","$5,000 ",LotteryUSA_Original,3,6,5,3
2025-09-01,"2, 7, 8, 8","$5,000 ",LotteryUSA_Original,2,7,8,8
2025-08-31,"4, 3, 1, 6","$5,000 ",LotteryUSA_Original,4,3,1,6
2025-08-30,"1, 7, 3, 8","$5,000 ",LotteryUSA_Original,1,7,3,8
2025-08-29,"8, 5, 8, 5","$5,000 ",LotteryUSA_Original,8,5,8,5
2025-08-28,"5, 6, 9, 0","$5,000 ",LotteryUSA_Original,5,6,9,0
2025-08-27,"4, 9, 3, 0","$5,000 ",LotteryUSA_Original,4,9,3,0
2025-08-26,"2, 6, 3, 8","$5,000 ",LotteryUSA_Original,2,6,3,8
2025-08-25,"3, 0, 8, 0","$5,000 ",LotteryUSA_Original,3,0,8,0
2025-08-24,"6, 8, 2, 4","$5,000 ",LotteryUSA_Original,6,8,2,4
2025-08-23,"7, 7, 3, 6","$5,000 ",LotteryUSA_Original,7,7,3,6
2025-08-22,"4, 1, 8, 2","$5,000 ",LotteryUSA_Original,4,1,8,2
2025-08-21,"5, 3, 4, 9","$5,000 ",LotteryUSA_Original,5,3,4,9
2025-08-20,"1, 1, 9, 0","$5,000 ",LotteryUSA_Original,1,1,9,0
2025-08-19,"7, 2, 3, 4","$5,000 ",LotteryUSA_Original,7,2,3,4
2025-08-18,"0, 8, 2, 7","$5,000 ",LotteryUSA_Original,0,8,2,7
2025-08-17,"7, 0, 4, 8","$5,000 ",LotteryUSA_Original,7,0,4,8
2025-08-16,"8, 8, 7, 9","$5,000 ",LotteryUSA_Original,8,8,7,9
2025-08-15,"6, 0, 8, 9","$5,000 ",LotteryUSA_Original,6,0,8,9
2025-08-14,"6, 4, 6, 5","$5,000 ",LotteryUSA_Original,6,4,6,5
2025-08-13,"0, 4, 3, 5","$5,000 ",LotteryUSA_Original,0,4,3,5
2025-08-12,"7, 4, 8, 7","$5,000 ",LotteryUSA_Original,7,4,8,7
2025-08-11,"6, 4, 1, 9","$5,000 ",LotteryUSA_Original,6,4,1,9
2025-08-10,"9, 3, 9, 3","$5,000 ",LotteryUSA_Original,9,3,9,3
2025-08-09,"5, 6, 1, 5","$5,000 ",LotteryUSA_Original,5,6,1,5
2025-08-08,"8, 0, 1, 9","$5,000 ",LotteryUSA_Original,8,0,1,9
2025-08-07,"8, 0, 8, 8","$5,000 ",LotteryUSA_Original,8,0,8,8
2025-08-06,"1, 6, 9, 5","$5,000 ",LotteryUSA_Original,1,6,9,5
2025-08-05,"1, 9, 2, 0","$5,000 ",LotteryUSA_Original,1,9,2,0
2025-08-04,"4, 7, 4, 4","$5,000 ",LotteryUSA_Original,4,7,4,4
2025-08-03,"1, 9, 6, 3","$5,000 ",LotteryUSA_Original,1,9,6,3
2025-08-02,"2, 6, 8, 2","$5,000 ",LotteryUSA_Original,2,6,8,2
2025-08-01,"7, 1, 4, 5","$5,000 ",LotteryUSA_Original,7,1,4,5
2025-07-31,"0, 2, 1, 6","$5,000 ",LotteryUSA_Original,0,2,1,6
2025-07-30,"8, 3, 0, 3","$5,000 ",LotteryUSA_Original,8,3,0,3
2025-07-29,"5, 5, 2, 8","$5,000 ",LotteryUSA_Original,5,5,2,8
2025-07-28,"9, 2, 8, 3","$5,000 ",LotteryUSA_Original,9,2,8,3
2025-07-27,"2, 2, 2, 1","$5,000 ",LotteryUSA_Original,2,2,2,1
2025-07-26,"2, 5, 2, 5","$5,000 ",LotteryUSA_Original,2,5,2,5
2025-07-25,"0, 6, 7, 7","$5,000 ",LotteryUSA_Original,0,6,7,7
2025-07-24,"0, 1, 0, 3","$5,000 ",LotteryUSA_Original,0,1,0,3
2025-07-23,"0, 2, 9, 0","$5,000 ",LotteryUSA_Original,0,2,9,0
2025-07-22,"8, 0, 6, 9","$5,000 ",LotteryUSA_Original,8,0,6,9
2025-07-21,"1, 8, 2, 6","$5,000 ",LotteryUSA_Original,1,8,2,6
2025-07-20,"4, 2, 9, 0","$5,000 ",LotteryUSA_Original,4,2,9,0
2025-07-19,"9, 9, 2, 4","$5,000 ",LotteryUSA_Original,9,9,2,4
2025-07-18,"6, 8, 2, 6","$5,000 ",LotteryUSA_Original,6,8,2,6
2025-07-17,"1, 6, 2, 5","$5,000 ",LotteryUSA_Original,1,6,2,5
2025-07-16,"3, 7, 9, 2","$5,000 ",LotteryUSA_Original,3,7,9,2
2025-07-15,"7, 7, 4, 3","$5,000 ",LotteryUSA_Original,7,7,4,3
2025-07-14,"8, 2, 7, 9","$5,000 ",LotteryUSA_Original,8,2,7,9
2025-07-13,"4, 1, 0, 0","$5,000 ",LotteryUSA_Original,4,1,0,0
2025-07-12,"0, 2, 2, 3","$5,000 ",LotteryUSA_Original,0,2,2,3
2025-07-11,"2, 4, 2, 2","$5,000 ",LotteryUSA_Original,2,4,2,2
2025-07-10,"0, 4, 3, 1","$5,000 ",LotteryUSA_Original,0,4,3,1
2025-07-09,"0, 5, 3, 5","$5,000 ",LotteryUSA_Original,0,5,3,5
2025-07-08,"0, 6, 5, 6","$5,000 ",LotteryUSA_Original,0,6,5,6
2025-07-07,"8, 8, 0, 6","$5,000 ",LotteryUSA_Original,8,8,0,6
2025-07-06,"1, 1, 9, 7","$5,000 ",LotteryUSA_Original,1,1,9,7
2025-07-05,"6, 4, 9, 9","$5,000 ",LotteryUSA_Original,6,4,9,9
2025-07-04,"2, 7, 8, 7","$5,000 ",LotteryUSA_Original,2,7,8,7
2025-07-03,"3, 4, 5, 1","$5,000 ",LotteryUSA_Original,3,4,5,1
2025-07-02,"6, 8, 7, 3","$5,000 ",LotteryUSA_Original,6,8,7,3
2025-07-01,"0, 6, 3, 5","$5,000 ",LotteryUSA_Original,0,6,3,5
2025-06-30,"5, 2, 5, 8","$5,000 ",LotteryUSA_Original,5,2,5,8
2025-06-29,"2, 4, 2, 4","$5,000 ",LotteryUSA_Original,2,4,2,4
2025-06-28,"4, 8, 2, 6","$5,000 ",LotteryUSA_Original,4,8,2,6
2025-06-27,"3, 8, 4, 3","$5,000 ",LotteryUSA_Original,3,8,4,3
2025-06-26,"5, 4, 0, 6","$5,000 ",LotteryUSA_Original,5,4,0,6
2025-06-25,"8, 9, 8, 1","$5,000 ",LotteryUSA_Original,8,9,8,1
2025-06-24,"8, 8, 9, 4","$5,000 ",LotteryUSA_Original,8,8,9,4
2025-06-23,"9, 9, 7, 7","$5,000 ",LotteryUSA_Original,9,9,7,7
2025-06-22,"6, 3, 0, 2","$5,000 ",LotteryUSA_Original,6,3,0,2
2025-06-21,"0, 8, 0, 9","$5,000 ",LotteryUSA_Original,0,8,0,9
2025-06-20,"0, 7, 2, 1","$5,000 ",LotteryUSA_Original,0,7,2,1
2025-06-19,"2, 4, 3, 3","$5,000 ",LotteryUSA_Original,2,4,3,3
2025-06-18,"6, 5, 8, 0","$5,000 ",LotteryUSA_Original,6,5,8,0
2025-06-17,"5, 4, 6, 1","$5,000 ",LotteryUSA_Original,5,4,6,1
2025-06-16,"7, 0, 4, 4","$5,000 ",LotteryUSA_Original,7,0,4,4
2025-06-15,"3, 3, 6, 9","$5,000 ",LotteryUSA_Original,3,3,6,9
2025-06-14,"2, 6, 7, 9","$5,000 ",LotteryUSA_Original,2,6,7,9
2025-06-13,"2, 9, 9, 5","$5,000 ",LotteryUSA_Original,2,9,9,5
2025-06-12,"3, 6, 5, 1","$5,000 ",LotteryUSA_Original,3,6,5,1
2025-06-11,"1, 2, 4, 2","$5,000 ",LotteryUSA_Original,1,2,4,2
2025-06-10,"3, 3, 1, 5","$5,000 ",LotteryUSA_Original,3,3,1,5
2025-06-09,"2, 8, 5, 1","$5,000 ",LotteryUSA_Original,2,8,5,1
2025-06-08,"2, 1, 6, 3","$5,000 ",LotteryUSA_Original,2,1,6,3
2025-06-07,"7, 9, 2, 4","$5,000 ",LotteryUSA_Original,7,9,2,4
2025-06-06,"5, 6, 5, 8","$5,000 ",LotteryUSA_Original,5,6,5,8
2025-06-05,"0, 5, 2, 3","$5,000 ",LotteryUSA_Original,0,5,2,3
2025-06-04,"9, 7, 6, 4","$5,000 ",LotteryUSA_Original,9,7,6,4
2025-06-03,"3, 9, 2, 7","$5,000 ",LotteryUSA_Original,3,9,2,7
2025-06-02,"2, 8, 2, 2","$5,000 ",LotteryUSA_Original,2,8,2,2
2025-06-01,"6, 9, 2, 8","$5,000 ",LotteryUSA_Original,6,9,2,8
2025-05-31,"2, 4, 5, 5","$5,000 ",LotteryUSA_Original,2,4,5,5
2025-05-30,"0, 8, 8, 8","$5,000 ",LotteryUSA_Original,0,8,8,8
2025-05-29,"3, 5, 3, 9","$5,000 ",LotteryUSA_Original,3,5,3,9
2025-05-28,"7, 8, 1, 6","$5,000 ",LotteryUSA_Original,7,8,1,6
2025-05-27,"1, 7, 3, 0","$5,000 ",LotteryUSA_Original,1,7,3,0
2025-05-26,"3, 9, 5, 1","$5,000 ",LotteryUSA_Original,3,9,5,1
2025-05-25,"1, 9, 7, 9","$5,000 ",LotteryUSA_Original,1,9,7,9
2025-05-24,"3, 9, 4, 6","$5,000 ",LotteryUSA_Original,3,9,4,6
2025-05-23,"3, 0, 2, 4","$5,000 ",LotteryUSA_Original,3,0,2,4
2025-05-22,"6, 3, 5, 8","$5,000 ",LotteryUSA_Original,6,3,5,8
2025-05-21,"6, 0, 5, 5","$5,000 ",LotteryUSA_Original,6,0,5,5
2025-05-20,"7, 2, 2, 4","$5,000 ",LotteryUSA_Original,7,2,2,4
2025-05-19,"1, 5, 4, 2","$5,000 ",LotteryUSA_Original,1,5,4,2
2025-05-18,"5, 9, 6, 1","$5,000 ",LotteryUSA_Original,5,9,6,1
2025-05-17,"6, 6, 0, 1","$5,000 ",LotteryUSA_Original,6,6,0,1
2025-05-16,"3, 1, 6, 9","$5,000 ",LotteryUSA_Original,3,1,6,9
2025-05-15,"0, 8, 3, 6","$5,000 ",LotteryUSA_Original,0,8,3,6
2025-05-14,"8, 7, 3, 3","$5,000 ",LotteryUSA_Original,8,7,3,3
2025-05-13,"4, 6, 6, 5","$5,000 ",LotteryUSA_Original,4,6,6,5
2025-05-12,"5, 4, 8, 2","$5,000 ",LotteryUSA_Original,5,4,8,2
2025-05-11,"9, 8, 6, 3","$5,000 ",LotteryUSA_Original,9,8,6,3
2025-05-10,"1, 5, 6, 5","$5,000 ",LotteryUSA_Original,1,5,6,5
2025-05-09,"9, 4, 8, 5","$5,000 ",LotteryUSA_Original,9,4,8,5
2025-05-08,"9, 6, 3, 5","$5,000 ",LotteryUSA_Original,9,6,3,5
2025-05-07,"6, 4, 3, 6","$5,000 ",LotteryUSA_Original,6,4,3,6
2025-05-06,"3, 8, 3, 1","$5,000 ",LotteryUSA_Original,3,8,3,1
2025-05-05,"4, 8, 3, 7","$5,000 ",LotteryUSA_Original,4,8,3,7
2025-05-04,"2, 9, 5, 0","$5,000 ",LotteryUSA_Original,2,9,5,0
2025-05-03,"1, 6, 4, 8","$5,000 ",LotteryUSA_Original,1,6,4,8
2025-05-02,"5, 8, 8, 1","$5,000 ",LotteryUSA_Original,5,8,8,1
2025-05-01,"8, 6, 1, 9","$5,000 ",LotteryUSA_Original,8,6,1,9
2025-04-30,"6, 3, 2, 5","$5,000 ",LotteryUSA_Original,6,3,2,5
2025-04-29,"5, 4, 1, 7","$5,000 ",LotteryUSA_Original,5,4,1,7
2025-04-28,"4, 6, 2, 6","$5,000 ",LotteryUSA_Original,4,6,2,6
2025-04-27,"0, 1, 4, 2","$5,000 ",LotteryUSA_Original,0,1,4,2
2025-04-26,"2, 7, 6, 5","$5,000 ",LotteryUSA_Original,2,7,6,5
2025-04-25,"2, 5, 7, 3","$5,000 ",LotteryUSA_Original,2,5,7,3
2025-04-24,"3, 9, 6, 5","$5,000 ",LotteryUSA_Original,3,9,6,5
2025-04-23,"1, 8, 4, 7","$5,000 ",LotteryUSA_Original,1,8,4,7
2025-04-22,"3, 9, 7, 2","$5,000 ",LotteryUSA_Original,3,9,7,2
2025-04-21,"3, 6, 1, 7","$5,000 ",LotteryUSA_Original,3,6,1,7
2025-04-20,"9, 9, 4, 1","$5,000 ",LotteryUSA_Original,9,9,4,1
2025-04-19,"3, 0, 3, 7","$5,000 ",LotteryUSA_Original,3,0,3,7
2025-04-18,"0, 1, 1, 0","$5,000 ",LotteryUSA_Original,0,1,1,0
2025-04-17,"7, 5, 1, 4","$5,000 ",LotteryUSA_Original,7,5,1,4
2025-04-16,"2, 8, 2, 3","$5,000 ",LotteryUSA_Original,2,8,2,3
2025-04-15,"9, 6, 7, 3","$5,000 ",LotteryUSA_Original,9,6,7,3
2025-04-14,"6, 3, 7, 8","$5,000 ",LotteryUSA_Original,6,3,7,8
2025-04-13,"8, 7, 7, 7","$5,000 ",LotteryUSA_Original,8,7,7,7
2025-04-12,"0, 5, 5, 4","$5,000 ",LotteryUSA_Original,0,5,5,4
2025-04-11,"7, 1, 7, 4","$5,000 ",LotteryUSA_Original,7,1,7,4
2025-04-10,"4, 3, 5, 0","$5,000 ",LotteryUSA_Original,4,3,5,0
2025-04-09,"7, 3, 6, 4","$5,000 ",LotteryUSA_Original,7,3,6,4
2025-04-08,"8, 9, 6, 2","$5,000 ",LotteryUSA_Original,8,9,6,2
2025-04-07,"5, 5, 8, 3","$5,000 ",LotteryUSA_Original,5,5,8,3
2025-04-06,"4, 7, 5, 2","$5,000 ",LotteryUSA_Original,4,7,5,2
2025-04-05,"4, 4, 4, 0","$5,000 ",LotteryUSA_Original,4,4,4,0
2025-04-04,"4, 4, 9, 0","$5,000 ",LotteryUSA_Original,4,4,9,0
2025-04-03,"3, 5, 2, 4","$5,000 ",LotteryUSA_Original,3,5,2,4
2025-04-02,"8, 4, 4, 8","$5,000 ",LotteryUSA_Original,8,4,4,8
2025-04-01,"3, 1, 7, 7","$5,000 ",LotteryUSA_Original,3,1,7,7
2025-03-31,"5, 8, 5, 9","$5,000 ",LotteryUSA_Original,5,8,5,9
2025-03-30,"8, 3, 7, 1","$5,000 ",LotteryUSA_Original,8,3,7,1
2025-03-29,"5, 4, 8, 6","$5,000 ",LotteryUSA_Original,5,4,8,6
2025-03-28,"7, 7, 3, 8","$5,000 ",LotteryUSA_Original,7,7,3,8
2025-03-27,"6, 7, 7, 3","$5,000 ",LotteryUSA_Original,6,7,7,3
2025-03-26,"5, 8, 2, 3","$5,000 ",LotteryUSA_Original,5,8,2,3
2025-03-25,"6, 0, 9, 0","$5,000 ",LotteryUSA_Original,6,0,9,0
2025-03-24,"2, 1, 9, 3","$5,000 ",LotteryUSA_Original,2,1,9,3
2025-03-23,"7, 7, 7, 2","$5,000 ",LotteryUSA_Original,7,7,7,2
2025-03-22,"7, 3, 6, 9","$5,000 ",LotteryUSA_Original,7,3,6,9
2025-03-21,"1, 6, 5, 9","$5,000 ",LotteryUSA_Original,1,6,5,9
2025-03-20,"8, 5, 5, 7","$5,000 ",LotteryUSA_Original,8,5,5,7
2025-03-19,"5, 8, 6, 0","$5,000 ",LotteryUSA_Original,5,8,6,0
2025-03-18,"9, 5, 4, 6","$5,000 ",LotteryUSA_Original,9,5,4,6
2025-03-17,"6, 2, 5, 9","$5,000 ",LotteryUSA_Original,6,2,5,9
2025-03-16,"1, 5, 2, 0","$5,000 ",LotteryUSA_Original,1,5,2,0
2025-03-15,"5, 9, 0, 8","$5,000 ",LotteryUSA_Original,5,9,0,8
2025-03-14,"4, 5, 2, 3","$5,000 ",LotteryUSA_Original,4,5,2,3
2025-03-13,"2, 8, 0, 3","$5,000 ",LotteryUSA_Original,2,8,0,3
2025-03-12,"6, 7, 7, 9","$5,000 ",LotteryUSA_Original,6,7,7,9
2025-03-11,"5, 6, 1, 1","$5,000 ",LotteryUSA_Original,5,6,1,1
2025-03-10,"1, 2, 2, 7","$5,000 ",LotteryUSA_Original,1,2,2,7
2025-03-09,"8, 6, 1, 2","$5,000 ",LotteryUSA_Original,8,6,1,2
2025-03-08,"0, 0, 2, 4","$5,000 ",LotteryUSA_Original,0,0,2,4
2025-03-07,"4, 5, 7, 8","$5,000 ",LotteryUSA_Original,4,5,7,8
2025-03-06,"8, 1, 3, 7","$5,000 ",LotteryUSA_Original,8,1,3,7
2025-03-05,"4, 8, 7, 1","$5,000 ",LotteryUSA_Original,4,8,7,1
2025-03-04,"2, 0, 2, 7","$5,000 ",LotteryUSA_Original,2,0,2,7
2025-03-03,"3, 8, 6, 8","$5,000 ",LotteryUSA_Original,3,8,6,8
2025-03-02,"3, 2, 3, 6","$5,000 ",LotteryUSA_Original,3,2,3,6
2025-03-01,"4, 3, 6, 0","$5,000 ",LotteryUSA_Original,4,3,6,0
2025-02-28,"0, 5, 5, 7","$5,000 ",LotteryUSA_Original,0,5,5,7
2025-02-27,"6, 3, 0, 9","$5,000 ",LotteryUSA_Original,6,3,0,9
2025-02-26,"4, 4, 9, 8","$5,000 ",LotteryUSA_Original,4,4,9,8
2025-02-25,"8, 2, 8, 6","$5,000 ",LotteryUSA_Original,8,2,8,6
2025-02-24,"8, 0, 0, 0","$5,000 ",LotteryUSA_Original,8,0,0,0
2025-02-23,"6, 6, 0, 9","$5,000 ",LotteryUSA_Original,6,6,0,9
2025-02-22,"4, 4, 2, 2","$5,000 ",LotteryUSA_Original,4,4,2,2
2025-02-21,"8, 7, 5, 3","$5,000 ",LotteryUSA_Original,8,7,5,3
2025-02-20,"9, 7, 6, 9","$5,000 ",LotteryUSA_Original,9,7,6,9
2025-02-19,"5, 3, 1, 8","$5,000 ",LotteryUSA_Original,5,3,1,8
2025-02-18,"6, 3, 6, 5","$5,000 ",LotteryUSA_Original,6,3,6,5
2025-02-17,"5, 8, 5, 7","$5,000 ",LotteryUSA_Original,5,8,5,7
2025-02-16,"7, 3, 8, 5","$5,000 ",LotteryUSA_Original,7,3,8,5
2025-02-15,"7, 9, 4, 9","$5,000 ",LotteryUSA_Original,7,9,4,9
2025-02-14,"9, 5, 3, 1","$5,000 ",LotteryUSA_Original,9,5,3,1
2025-02-13,"8, 4, 5, 8","$5,000 ",LotteryUSA_Original,8,4,5,8
2025-02-12,"8, 7, 2, 6","$5,000 ",LotteryUSA_Original,8,7,2,6
2025-02-11,"5, 0, 8, 4","$5,000 ",LotteryUSA_Original,5,0,8,4
2025-02-10,"1, 9, 5, 5","$5,000 ",LotteryUSA_Original,1,9,5,5
2025-02-09,"6, 0, 0, 6","$5,000 ",LotteryUSA_Original,6,0,0,6
2025-02-08,"6, 1, 3, 9","$5,000 ",LotteryUSA_Original,6,1,3,9
2025-02-07,"5, 4, 8, 9","$5,000 ",LotteryUSA_Original,5,4,8,9
2025-02-06,"2, 7, 9, 0","$5,000 ",LotteryUSA_Original,2,7,9,0
2025-02-05,"6, 1, 5, 2","$5,000 ",LotteryUSA_Original,6,1,5,2
2025-02-04,"8, 0, 0, 7","$5,000 ",LotteryUSA_Original,8,0,0,7
2025-02-03,"3, 6, 6, 3","$5,000 ",LotteryUSA_Original,3,6,6,3
2025-02-02,"9, 4, 3, 3","$5,000 ",LotteryUSA_Original,9,4,3,3
2025-02-01,"9, 0, 1, 8","$5,000 ",LotteryUSA_Original,9,0,1,8
2025-01-31,"4, 6, 3, 3","$5,000 ",LotteryUSA_Original,4,6,3,3
2025-01-30,"8, 5, 3, 6","$5,000 ",LotteryUSA_Original,8,5,3,6
2025-01-29,"1, 9, 6, 5","$5,000 ",LotteryUSA_Original,1,9,6,5
2025-01-28,"7, 8, 8, 7","$5,000 ",LotteryUSA_Original,7,8,8,7
2025-01-27,"7, 4, 6, 0","$5,000 ",LotteryUSA_Original,7,4,6,0
2025-01-26,"4, 7, 0, 8","$5,000 ",LotteryUSA_Original,4,7,0,8
2025-01-25,"3, 0, 5, 6","$5,000 ",LotteryUSA_Original,3,0,5,6
2025-01-24,"2, 2, 8, 0","$5,000 ",LotteryUSA_Original,2,2,8,0
2025-01-23,"1, 1, 4, 0","$5,000 ",LotteryUSA_Original,1,1,4,0
2025-01-22,"6, 7, 1, 5","$5,000 ",LotteryUSA_Original,6,7,1,5
2025-01-21,"9, 6, 8, 9","$5,000 ",LotteryUSA_Original,9,6,8,9
2025-01-20,"7, 0, 4, 8","$5,000 ",LotteryUSA_Original,7,0,4,8
2025-01-19,"1, 2, 4, 3","$5,000 ",LotteryUSA_Original,1,2,4,3
2025-01-18,"1, 3, 0, 8","$5,000 ",LotteryUSA_Original,1,3,0,8
2025-01-17,"3, 6, 4, 0","$5,000 ",LotteryUSA_Original,3,6,4,0
2025-01-16,"6, 9, 3, 0","$5,000 ",LotteryUSA_Original,6,9,3,0
2025-01-15,"2, 2, 1, 5","$5,000 ",LotteryUSA_Original,2,2,1,5
2025-01-14,"5, 0, 7, 8","$5,000 ",LotteryUSA_Original,5,0,7,8
2025-01-13,"4, 2, 1, 9","$5,000 ",LotteryUSA_Original,4,2,1,9
2025-01-12,"4, 8, 4, 2","$5,000 ",LotteryUSA_Original,4,8,4,2
2025-01-11,"0, 6, 1, 3","$5,000 ",LotteryUSA_Original,0,6,1,3
2025-01-10,"8, 3, 8, 3","$5,000 ",LotteryUSA_Original,8,3,8,3
2025-01-09,"1, 7, 8, 1","$5,000 ",LotteryUSA_Original,1,7,8,1
2025-01-08,"2, 5, 7, 7","$5,000 ",LotteryUSA_Original,2,5,7,7
2025-01-07,"0, 5, 2, 4","$5,000 ",LotteryUSA_Original,0,5,2,4
2025-01-06,"6, 0, 1, 0","$5,000 ",LotteryUSA_Original,6,0,1,0
2025-01-05,"4, 1, 2, 3","$5,000 ",LotteryUSA_Original,4,1,2,3
2025-01-04,"2, 4, 2, 7","$5,000 ",LotteryUSA_Original,2,4,2,7
2025-01-03,"6, 0, 6, 7","$5,000 ",LotteryUSA_Original,6,0,6,7
2025-01-02,"3, 9, 5, 7","$5,000 ",LotteryUSA_Original,3,9,5,7
2025-01-01,"0, 6, 6, 4","$5,000 ",LotteryUSA_Original,0,6,6,4
2024-12-31,"7, 1, 5, 4","$5,000 ",LotteryUSA_Original,7,1,5,4
2024-12-30,"1, 9, 7, 3","$5,000 ",LotteryUSA_Original,1,9,7,3
2024-12-29,"5, 9, 9, 5","$5,000 ",LotteryUSA_Original,5,9,9,5
2024-12-28,"4, 2, 0, 0","$5,000 ",LotteryUSA_Original,4,2,0,0
2024-12-27,"1, 7, 2, 5","$5,000 ",LotteryUSA_Original,1,7,2,5
2024-12-26,"2, 4, 6, 6","$5,000 ",LotteryUSA_Original,2,4,6,6
2024-12-25,"5, 6, 0, 1","$5,000 ",LotteryUSA_Original,5,6,0,1
