Date,Result,Top prize,Source,Number1,Number2,Number3
2025-07-10,"5, 1, 7",$500 ,LotteryUSA_Original,5,1,7
2025-07-09,"1, 7, 9",$500 ,LotteryUSA_Original,1,7,9
2025-07-08,"1, 6, 3",$500 ,LotteryUSA_Original,1,6,3
2025-07-07,"8, 2, 7",$500 ,LotteryUSA_Original,8,2,7
2025-07-06,"9, 3, 4",$500 ,LotteryUSA_Original,9,3,4
2025-07-05,"6, 6, 1",$500 ,LotteryUSA_Original,6,6,1
2025-07-04,"6, 5, 3",$500 ,LotteryUSA_Original,6,5,3
2025-07-03,"0, 9, 8",$500 ,LotteryUSA_Original,0,9,8
2025-07-02,"3, 0, 5",$500 ,LotteryUSA_Original,3,0,5
2025-07-01,"8, 9, 7",$500 ,LotteryUSA_Original,8,9,7
2025-06-30,"6, 1, 5",$500 ,LotteryUSA_Original,6,1,5
2025-06-29,"3, 1, 9",$500 ,LotteryUSA_Original,3,1,9
2025-06-28,"1, 5, 0",$500 ,LotteryUSA_Original,1,5,0
2025-06-27,"2, 8, 9",$500 ,LotteryUSA_Original,2,8,9
2025-06-26,"6, 9, 5",$500 ,LotteryUSA_Original,6,9,5
2025-06-25,"7, 8, 3",$500 ,LotteryUSA_Original,7,8,3
2025-06-24,"1, 0, 6",$500 ,LotteryUSA_Original,1,0,6
2025-06-23,"3, 9, 2",$500 ,LotteryUSA_Original,3,9,2
2025-06-22,"3, 0, 9",$500 ,LotteryUSA_Original,3,0,9
2025-06-21,"4, 3, 2",$500 ,LotteryUSA_Original,4,3,2
2025-06-20,"1, 3, 9",$500 ,LotteryUSA_Original,1,3,9
2025-06-19,"5, 1, 6",$500 ,LotteryUSA_Original,5,1,6
2025-06-18,"4, 0, 8",$500 ,LotteryUSA_Original,4,0,8
2025-06-17,"6, 1, 8",$500 ,LotteryUSA_Original,6,1,8
2025-06-16,"9, 0, 0",$500 ,LotteryUSA_Original,9,0,0
2025-06-15,"1, 3, 3",$500 ,LotteryUSA_Original,1,3,3
2025-06-14,"2, 4, 8",$500 ,LotteryUSA_Original,2,4,8
2025-06-13,"8, 1, 5",$500 ,LotteryUSA_Original,8,1,5
2025-06-12,"2, 3, 0",$500 ,LotteryUSA_Original,2,3,0
2025-06-11,"4, 4, 2",$500 ,LotteryUSA_Original,4,4,2
2025-06-10,"8, 7, 4",$500 ,LotteryUSA_Original,8,7,4
2025-06-09,"0, 8, 3",$500 ,LotteryUSA_Original,0,8,3
2025-06-08,"1, 8, 0",$500 ,LotteryUSA_Original,1,8,0
2025-06-07,"2, 6, 9",$500 ,LotteryUSA_Original,2,6,9
2025-06-06,"8, 4, 5",$500 ,LotteryUSA_Original,8,4,5
2025-06-05,"2, 9, 4",$500 ,LotteryUSA_Original,2,9,4
2025-06-04,"2, 7, 0",$500 ,LotteryUSA_Original,2,7,0
2025-06-03,"5, 7, 8",$500 ,LotteryUSA_Original,5,7,8
2025-06-02,"1, 6, 7",$500 ,LotteryUSA_Original,1,6,7
2025-06-01,"1, 7, 7",$500 ,LotteryUSA_Original,1,7,7
2025-05-31,"3, 7, 7",$500 ,LotteryUSA_Original,3,7,7
2025-05-30,"4, 0, 0",$500 ,LotteryUSA_Original,4,0,0
2025-05-29,"4, 5, 0",$500 ,LotteryUSA_Original,4,5,0
2025-05-28,"7, 4, 5",$500 ,LotteryUSA_Original,7,4,5
2025-05-27,"9, 8, 7",$500 ,LotteryUSA_Original,9,8,7
2025-05-26,"3, 9, 7",$500 ,LotteryUSA_Original,3,9,7
2025-05-25,"1, 6, 3",$500 ,LotteryUSA_Original,1,6,3
2025-05-24,"3, 4, 0",$500 ,LotteryUSA_Original,3,4,0
2025-05-23,"4, 9, 1",$500 ,LotteryUSA_Original,4,9,1
2025-05-22,"0, 1, 7",$500 ,LotteryUSA_Original,0,1,7
2025-05-21,"7, 5, 4",$500 ,LotteryUSA_Original,7,5,4
2025-05-20,"9, 3, 6",$500 ,LotteryUSA_Original,9,3,6
2025-05-19,"4, 8, 4",$500 ,LotteryUSA_Original,4,8,4
2025-05-18,"3, 3, 5",$500 ,LotteryUSA_Original,3,3,5
2025-05-17,"5, 8, 7",$500 ,LotteryUSA_Original,5,8,7
2025-05-16,"2, 8, 4",$500 ,LotteryUSA_Original,2,8,4
2025-05-15,"9, 4, 6",$500 ,LotteryUSA_Original,9,4,6
2025-05-14,"8, 9, 2",$500 ,LotteryUSA_Original,8,9,2
2025-05-13,"1, 7, 7",$500 ,LotteryUSA_Original,1,7,7
2025-05-12,"6, 9, 6",$500 ,LotteryUSA_Original,6,9,6
2025-05-11,"8, 9, 0",$500 ,LotteryUSA_Original,8,9,0
2025-05-10,"4, 4, 5",$500 ,LotteryUSA_Original,4,4,5
2025-05-09,"1, 7, 3",$500 ,LotteryUSA_Original,1,7,3
2025-05-08,"2, 5, 9",$500 ,LotteryUSA_Original,2,5,9
2025-05-07,"1, 5, 9",$500 ,LotteryUSA_Original,1,5,9
2025-05-06,"7, 3, 8",$500 ,LotteryUSA_Original,7,3,8
2025-05-05,"4, 1, 3",$500 ,LotteryUSA_Original,4,1,3
2025-05-04,"4, 5, 2",$500 ,LotteryUSA_Original,4,5,2
2025-05-03,"2, 3, 5",$500 ,LotteryUSA_Original,2,3,5
2025-05-02,"5, 7, 5",$500 ,LotteryUSA_Original,5,7,5
2025-05-01,"9, 3, 7",$500 ,LotteryUSA_Original,9,3,7
2025-04-30,"9, 6, 1",$500 ,LotteryUSA_Original,9,6,1
2025-04-29,"8, 4, 6",$500 ,LotteryUSA_Original,8,4,6
2025-04-28,"9, 4, 6",$500 ,LotteryUSA_Original,9,4,6
2025-04-27,"6, 3, 7",$500 ,LotteryUSA_Original,6,3,7
2025-04-26,"8, 4, 3",$500 ,LotteryUSA_Original,8,4,3
2025-04-25,"1, 3, 7",$500 ,LotteryUSA_Original,1,3,7
2025-04-24,"2, 9, 2",$500 ,LotteryUSA_Original,2,9,2
2025-04-23,"8, 9, 8",$500 ,LotteryUSA_Original,8,9,8
2025-04-22,"4, 8, 4",$500 ,LotteryUSA_Original,4,8,4
2025-04-21,"3, 7, 7",$500 ,LotteryUSA_Original,3,7,7
2025-04-20,"8, 0, 2",$500 ,LotteryUSA_Original,8,0,2
2025-04-19,"1, 0, 4",$500 ,LotteryUSA_Original,1,0,4
2025-04-18,"3, 3, 3",$500 ,LotteryUSA_Original,3,3,3
2025-04-17,"6, 4, 9",$500 ,LotteryUSA_Original,6,4,9
2025-04-16,"7, 4, 5",$500 ,LotteryUSA_Original,7,4,5
2025-04-15,"7, 3, 2",$500 ,LotteryUSA_Original,7,3,2
2025-04-14,"5, 3, 8",$500 ,LotteryUSA_Original,5,3,8
2025-04-13,"9, 8, 7",$500 ,LotteryUSA_Original,9,8,7
2025-04-12,"9, 0, 4",$500 ,LotteryUSA_Original,9,0,4
2025-04-11,"0, 2, 2",$500 ,LotteryUSA_Original,0,2,2
2025-04-10,"3, 9, 6",$500 ,LotteryUSA_Original,3,9,6
2025-04-09,"9, 4, 8",$500 ,LotteryUSA_Original,9,4,8
2025-04-08,"6, 0, 1",$500 ,LotteryUSA_Original,6,0,1
2025-04-07,"4, 9, 5",$500 ,LotteryUSA_Original,4,9,5
2025-04-06,"4, 8, 7",$500 ,LotteryUSA_Original,4,8,7
2025-04-05,"9, 1, 3",$500 ,LotteryUSA_Original,9,1,3
2025-04-04,"5, 8, 8",$500 ,LotteryUSA_Original,5,8,8
2025-04-03,"9, 6, 4",$500 ,LotteryUSA_Original,9,6,4
2025-04-02,"3, 5, 0",$500 ,LotteryUSA_Original,3,5,0
2025-04-01,"5, 8, 5",$500 ,LotteryUSA_Original,5,8,5
2025-03-31,"2, 9, 5",$500 ,LotteryUSA_Original,2,9,5
2025-03-30,"7, 4, 6",$500 ,LotteryUSA_Original,7,4,6
2025-03-29,"0, 8, 5",$500 ,LotteryUSA_Original,0,8,5
2025-03-28,"9, 3, 4",$500 ,LotteryUSA_Original,9,3,4
2025-03-27,"6, 7, 9",$500 ,LotteryUSA_Original,6,7,9
2025-03-26,"8, 6, 3",$500 ,LotteryUSA_Original,8,6,3
2025-03-25,"2, 3, 0",$500 ,LotteryUSA_Original,2,3,0
2025-03-24,"1, 9, 4",$500 ,LotteryUSA_Original,1,9,4
2025-03-23,"2, 3, 3",$500 ,LotteryUSA_Original,2,3,3
2025-03-22,"8, 4, 6",$500 ,LotteryUSA_Original,8,4,6
2025-03-21,"7, 7, 5",$500 ,LotteryUSA_Original,7,7,5
2025-03-20,"9, 6, 5",$500 ,LotteryUSA_Original,9,6,5
2025-03-19,"9, 0, 1",$500 ,LotteryUSA_Original,9,0,1
2025-03-18,"9, 2, 3",$500 ,LotteryUSA_Original,9,2,3
2025-03-17,"7, 0, 2",$500 ,LotteryUSA_Original,7,0,2
2025-03-16,"5, 1, 5",$500 ,LotteryUSA_Original,5,1,5
2025-03-15,"3, 8, 2",$500 ,LotteryUSA_Original,3,8,2
2025-03-14,"7, 3, 3",$500 ,LotteryUSA_Original,7,3,3
2025-03-13,"3, 0, 4",$500 ,LotteryUSA_Original,3,0,4
2025-03-12,"7, 6, 0",$500 ,LotteryUSA_Original,7,6,0
2025-03-11,"4, 0, 8",$500 ,LotteryUSA_Original,4,0,8
2025-03-10,"3, 9, 0",$500 ,LotteryUSA_Original,3,9,0
2025-03-09,"0, 0, 8",$500 ,LotteryUSA_Original,0,0,8
2025-03-08,"6, 4, 0",$500 ,LotteryUSA_Original,6,4,0
2025-03-07,"2, 4, 6",$500 ,LotteryUSA_Original,2,4,6
2025-03-06,"1, 3, 0",$500 ,LotteryUSA_Original,1,3,0
2025-03-05,"7, 0, 5",$500 ,LotteryUSA_Original,7,0,5
2025-03-04,"8, 2, 7",$500 ,LotteryUSA_Original,8,2,7
2025-03-03,"1, 7, 5",$500 ,LotteryUSA_Original,1,7,5
2025-03-02,"9, 8, 2",$500 ,LotteryUSA_Original,9,8,2
2025-03-01,"6, 6, 6",$500 ,LotteryUSA_Original,6,6,6
2025-02-28,"3, 5, 5",$500 ,LotteryUSA_Original,3,5,5
2025-02-27,"2, 9, 7",$500 ,LotteryUSA_Original,2,9,7
2025-02-26,"9, 6, 2",$500 ,LotteryUSA_Original,9,6,2
2025-02-25,"6, 8, 7",$500 ,LotteryUSA_Original,6,8,7
2025-02-24,"6, 6, 4",$500 ,LotteryUSA_Original,6,6,4
2025-02-23,"4, 4, 3",$500 ,LotteryUSA_Original,4,4,3
2025-02-22,"4, 1, 6",$500 ,LotteryUSA_Original,4,1,6
2025-02-21,"6, 9, 9",$500 ,LotteryUSA_Original,6,9,9
2025-02-20,"6, 7, 3",$500 ,LotteryUSA_Original,6,7,3
2025-02-19,"7, 4, 4",$500 ,LotteryUSA_Original,7,4,4
2025-02-18,"9, 4, 1",$500 ,LotteryUSA_Original,9,4,1
2025-02-17,"5, 8, 5",$500 ,LotteryUSA_Original,5,8,5
2025-02-16,"8, 2, 7",$500 ,LotteryUSA_Original,8,2,7
2025-02-15,"4, 1, 8",$500 ,LotteryUSA_Original,4,1,8
2025-02-14,"2, 7, 7",$500 ,LotteryUSA_Original,2,7,7
2025-02-13,"5, 5, 4",$500 ,LotteryUSA_Original,5,5,4
2025-02-12,"3, 5, 5",$500 ,LotteryUSA_Original,3,5,5
2025-02-11,"3, 8, 9",$500 ,LotteryUSA_Original,3,8,9
2025-02-10,"3, 4, 0",$500 ,LotteryUSA_Original,3,4,0
2025-02-09,"3, 0, 2",$500 ,LotteryUSA_Original,3,0,2
2025-02-08,"9, 0, 6",$500 ,LotteryUSA_Original,9,0,6
2025-02-07,"1, 5, 8",$500 ,LotteryUSA_Original,1,5,8
2025-02-06,"4, 7, 7",$500 ,LotteryUSA_Original,4,7,7
2025-02-05,"0, 9, 1",$500 ,LotteryUSA_Original,0,9,1
2025-02-04,"9, 1, 4",$500 ,LotteryUSA_Original,9,1,4
2025-02-03,"1, 4, 8",$500 ,LotteryUSA_Original,1,4,8
2025-02-02,"5, 2, 5",$500 ,LotteryUSA_Original,5,2,5
2025-02-01,"5, 5, 7",$500 ,LotteryUSA_Original,5,5,7
2025-01-31,"2, 8, 9",$500 ,LotteryUSA_Original,2,8,9
2025-01-30,"7, 6, 5",$500 ,LotteryUSA_Original,7,6,5
2025-01-29,"3, 1, 7",$500 ,LotteryUSA_Original,3,1,7
2025-01-28,"6, 6, 4",$500 ,LotteryUSA_Original,6,6,4
2025-01-27,"3, 9, 9",$500 ,LotteryUSA_Original,3,9,9
2025-01-26,"8, 6, 4",$500 ,LotteryUSA_Original,8,6,4
2025-01-25,"3, 1, 2",$500 ,LotteryUSA_Original,3,1,2
2025-01-24,"7, 9, 4",$500 ,LotteryUSA_Original,7,9,4
2025-01-23,"1, 4, 7",$500 ,LotteryUSA_Original,1,4,7
2025-01-22,"1, 9, 5",$500 ,LotteryUSA_Original,1,9,5
2025-01-21,"2, 3, 8",$500 ,LotteryUSA_Original,2,3,8
2025-01-20,"3, 0, 6",$500 ,LotteryUSA_Original,3,0,6
2025-01-19,"0, 7, 5",$500 ,LotteryUSA_Original,0,7,5
2025-01-18,"3, 1, 2",$500 ,LotteryUSA_Original,3,1,2
2025-01-17,"4, 9, 7",$500 ,LotteryUSA_Original,4,9,7
2025-01-16,"5, 0, 3",$500 ,LotteryUSA_Original,5,0,3
2025-01-15,"9, 1, 3",$500 ,LotteryUSA_Original,9,1,3
2025-01-14,"5, 4, 8",$500 ,LotteryUSA_Original,5,4,8
2025-01-13,"4, 7, 4",$500 ,LotteryUSA_Original,4,7,4
2025-01-12,"6, 2, 0",$500 ,LotteryUSA_Original,6,2,0
2025-01-11,"5, 7, 8",$500 ,LotteryUSA_Original,5,7,8
2025-01-10,"6, 8, 6",$500 ,LotteryUSA_Original,6,8,6
2025-01-09,"9, 7, 9",$500 ,LotteryUSA_Original,9,7,9
2025-01-08,"8, 9, 6",$500 ,LotteryUSA_Original,8,9,6
2025-01-07,"2, 2, 3",$500 ,LotteryUSA_Original,2,2,3
2025-01-06,"8, 6, 8",$500 ,LotteryUSA_Original,8,6,8
2025-01-05,"9, 5, 5",$500 ,LotteryUSA_Original,9,5,5
2025-01-04,"5, 0, 7",$500 ,LotteryUSA_Original,5,0,7
2025-01-03,"3, 2, 6",$500 ,LotteryUSA_Original,3,2,6
2025-01-02,"4, 9, 3",$500 ,LotteryUSA_Original,4,9,3
2025-01-01,"3, 0, 5",$500 ,LotteryUSA_Original,3,0,5
2024-12-31,"1, 5, 3",$500 ,LotteryUSA_Original,1,5,3
2024-12-30,"4, 2, 6",$500 ,LotteryUSA_Original,4,2,6
2024-12-29,"1, 6, 3",$500 ,LotteryUSA_Original,1,6,3
2024-12-28,"3, 0, 4",$500 ,LotteryUSA_Original,3,0,4
2024-12-27,"8, 5, 8",$500 ,LotteryUSA_Original,8,5,8
2024-12-26,"0, 8, 4",$500 ,LotteryUSA_Original,0,8,4
2024-12-25,"9, 3, 1",$500 ,LotteryUSA_Original,9,3,1
2024-12-24,"1, 7, 2",$500 ,LotteryUSA_Original,1,7,2
2024-12-23,"2, 7, 4",$500 ,LotteryUSA_Original,2,7,4
2024-12-22,"2, 0, 1",$500 ,LotteryUSA_Original,2,0,1
2024-12-21,"9, 7, 0",$500 ,LotteryUSA_Original,9,7,0
2024-12-20,"1, 2, 4",$500 ,LotteryUSA_Original,1,2,4
2024-12-19,"0, 0, 2",$500 ,LotteryUSA_Original,0,0,2
2024-12-18,"7, 6, 2",$500 ,LotteryUSA_Original,7,6,2
2024-12-17,"0, 0, 5",$500 ,LotteryUSA_Original,0,0,5
2024-12-16,"6, 5, 8",$500 ,LotteryUSA_Original,6,5,8
2024-12-15,"2, 4, 8",$500 ,LotteryUSA_Original,2,4,8
2024-12-14,"1, 3, 4",$500 ,LotteryUSA_Original,1,3,4
2024-12-13,"9, 3, 6",$500 ,LotteryUSA_Original,9,3,6
2024-12-12,"4, 5, 0",$500 ,LotteryUSA_Original,4,5,0
2024-12-11,"3, 9, 9",$500 ,LotteryUSA_Original,3,9,9
2024-12-10,"7, 4, 8",$500 ,LotteryUSA_Original,7,4,8
2024-12-09,"6, 2, 1",$500 ,LotteryUSA_Original,6,2,1
2024-12-08,"1, 6, 3",$500 ,LotteryUSA_Original,1,6,3
2024-12-07,"1, 2, 8",$500 ,LotteryUSA_Original,1,2,8
2024-12-06,"5, 8, 1",$500 ,LotteryUSA_Original,5,8,1
2024-12-05,"3, 5, 2",$500 ,LotteryUSA_Original,3,5,2
2024-12-04,"0, 4, 9",$500 ,LotteryUSA_Original,0,4,9
2024-12-03,"4, 3, 2",$500 ,LotteryUSA_Original,4,3,2
2024-12-02,"4, 0, 8",$500 ,LotteryUSA_Original,4,0,8
2024-12-01,"5, 8, 2",$500 ,LotteryUSA_Original,5,8,2
2024-11-30,"3, 9, 8",$500 ,LotteryUSA_Original,3,9,8
2024-11-29,"2, 9, 1",$500 ,LotteryUSA_Original,2,9,1
2024-11-28,"2, 9, 7",$500 ,LotteryUSA_Original,2,9,7
2024-11-27,"4, 6, 9",$500 ,LotteryUSA_Original,4,6,9
2024-11-26,"4, 9, 3",$500 ,LotteryUSA_Original,4,9,3
2024-11-25,"2, 5, 7",$500 ,LotteryUSA_Original,2,5,7
2024-11-24,"0, 2, 8",$500 ,LotteryUSA_Original,0,2,8
2024-11-23,"0, 0, 5",$500 ,LotteryUSA_Original,0,0,5
2024-11-22,"8, 7, 6",$500 ,LotteryUSA_Original,8,7,6
2024-11-21,"6, 2, 7",$500 ,LotteryUSA_Original,6,2,7
2024-11-20,"1, 1, 6",$500 ,LotteryUSA_Original,1,1,6
2024-11-19,"7, 4, 4",$500 ,LotteryUSA_Original,7,4,4
2024-11-18,"3, 7, 8",$500 ,LotteryUSA_Original,3,7,8
2024-11-17,"7, 8, 9",$500 ,LotteryUSA_Original,7,8,9
2024-11-16,"8, 8, 2",$500 ,LotteryUSA_Original,8,8,2
2024-11-15,"6, 2, 3",$500 ,LotteryUSA_Original,6,2,3
2024-11-14,"9, 8, 6",$500 ,LotteryUSA_Original,9,8,6
2024-11-13,"5, 9, 4",$500 ,LotteryUSA_Original,5,9,4
2024-11-12,"9, 1, 4",$500 ,LotteryUSA_Original,9,1,4
2024-11-11,"2, 8, 1",$500 ,LotteryUSA_Original,2,8,1
2024-11-10,"2, 5, 8",$500 ,LotteryUSA_Original,2,5,8
2024-11-09,"9, 9, 7",$500 ,LotteryUSA_Original,9,9,7
2024-11-08,"3, 6, 9",$500 ,LotteryUSA_Original,3,6,9
2024-11-07,"6, 1, 5",$500 ,LotteryUSA_Original,6,1,5
2024-11-06,"0, 8, 2",$500 ,LotteryUSA_Original,0,8,2
2024-11-05,"8, 4, 9",$500 ,LotteryUSA_Original,8,4,9
2024-11-04,"6, 3, 4",$500 ,LotteryUSA_Original,6,3,4
2024-11-03,"7, 8, 7",$500 ,LotteryUSA_Original,7,8,7
2024-11-02,"3, 1, 1",$500 ,LotteryUSA_Original,3,1,1
2024-11-01,"0, 6, 3",$500 ,LotteryUSA_Original,0,6,3
2024-10-31,"1, 3, 9",$500 ,LotteryUSA_Original,1,3,9
2024-10-30,"0, 3, 0",$500 ,LotteryUSA_Original,0,3,0
